一つ,ひとつ
二つ,ふたつ
三つ,みっつ
四つ,よっつ
五つ,いつつ
六つ,むっつ
七つ,ななつ
八つ,やっつ
九つ,ここのつ
十,とお
百円,ひゃくえん
千円,せんえん
上,うえ
下,した
左,ひだり
右,みぎ
中,なか
大,だい
小,しょう
月,つき
火,ひ
水,みず
木,き
金,かね
土,つち
日,ひ
本,ほん
山,やま
川,かわ
田,た
天,てん
気,き
空,そら
雨,あめ
林,はやし
森,もり
花,はな
草,くさ
竹,たけ
虫,むし
貝,かい
石,いし
車,くるま
名,な
目,め
耳,みみ
口,くち
手,て
足,あし
力,ちから
人,ひと
子,こ
女,おんな
男,おとこ
先,さき
生,せい
学,がく
校,こう
年,ねん
王,おう
見る,みる
出る,でる
入る,はいる
白い,しろい
赤い,あかい
青い,あおい
金色,きんいろ
立つ,たつ
夕,ゆう
早,はや
休む,やすむ
文,ぶん
正,せい
糸,いと
町,まち
村,むら
犬,いぬ
貝,かい
玉,たま
円,えん
音,おと
