引く,ひく
羽,はね
雲,くも
園,えん
遠い,とおい
何,なに
科,か
夏,なつ
家,いえ
歌,うた
画,が
回る,まわる
会う,あう
海,うみ
絵,え
外,そと
角,かど
楽,たのしい
活,かつ
間,あいだ
丸い,まるい
岩,いわ
顔,かお
帰る,かえる
弓,ゆみ
牛,うし
魚,さかな
強い,つよい
教える,おしえる
近い,ちかい
形,かたち
計,けい
元,げん
言う,いう
原,はら
戸,と
古い,ふるい
午前,ごぜん
後,あと
語,ご
工,こう
公,こう
広い,ひろい
交,こう
光,ひかり
考える,かんがえる
行く,いく
合う,あう
国,くに
黒い,くろい
作る,つくる
止まる,とまる
市,し
示す,しめす
姉,あね
妹,いもうと
心,こころ
新しい,あたらしい
数,かず
西,にし
声,こえ
星,ほし
晴れ,はれ
切る,きる
雪,ゆき
船,ふね
線,せん
前,まえ
多い,おおい
体,からだ
対,たい
太い,ふとい
台,だい
地,ち
知る,しる
朝,あさ
昼,ひる
長い,ながい
鳥,とり
通る,とおる
弟,おとうと
店,みせ
点,てん
電,でん
刀,かたな
冬,ふゆ
当たる,あたる
答える,こたえる
読む,よむ
内,うち
南,みなみ
肉,にく
馬,うま
売る,うる
買う,かう
麦,むぎ
半分,はんぶん
番,ばん
父,ちち
風,かぜ
母,はは
文章,ぶんしょう
米,こめ
歩く,あるく
方,ほう
北,きた
牧,まき
毎,まい
明るい,あかるい
鳴く,なく
毛,け
門,もん
夜,よる
野,の
矢,や
友,とも
曜,よう
理,り
里,さと
話す,はなす
首,くび
黄色,きいろ
寺,てら
自分,じぶん
春,はる
秋,あき
新,しん
親,おや
図,ず
数,かず
生活,せいかつ
思,おも
紙,かみ
村,むら
町,まち
色,いろ
食,たべ
走る,はしる
心,こころ
