悪い,わるい
安心,あんしん
暗い,くらい
医者,いしゃ
委員,いいん
意見,いけん
育てる,そだてる
社員,しゃいん
病院,びょういん
飲む,のむ
運ぶ,はこぶ
泳ぐ,およぐ
駅,えき
中央,ちゅうおう
横,よこ
屋上,おくじょう
温かい,あたたかい
変化,へんか
荷物,にもつ
世界,せかい
開ける,あける
階段,かいだん
寒い,さむい
感じる,かんじる
漢字,かんじ
図書館,としょかん
海岸,かいがん
起きる,おきる
期待,きたい
お客,おきゃく
研究,けんきゅう
急ぐ,いそぐ
学級,がっきゅう
宮,みや
野球,やきゅう
去る,さる
橋,はし
授業,じゅぎょう
曲がる,まがる
放送局,ほうそうきょく
銀いろ,ぎんいろ
区役しょ,くやくしょ
苦しい,くるしい
道具,どうぐ
君,くん
係,かかり
軽い,かるい
決める,きめる
血,ち
研しゅう,けんしゅう
県,けん
庫,こ
湖,こ
向こう,むこう
幸せ,しあわせ
港,みなと
号,ごう
根,ね
祭り,まつり
死ぬ,しぬ
詩,し
始末,しまつ
指,ゆび
歯,は
詩,し
次,つぎ
事,こと
持つの,もつの
式,しき
実,じつ
写す,うつす
主,ぬし
守る,まもる
取る,とる
酒,さけ
受ける,うける
州,しゅう
拾う,ひろう
終点,しゅうてん
習う,ならう
集まる,あつまる
住む,すむ
重い,おもい
宿題,しゅくだい
所,ところ
暑い,あつい
助ける,たすける
昭,しょう
消す,けす
商売,しょうばい
章,しょう
勝つ,かつ
乗る,のる
植える,うえる
申す,もうす
身,み
神,かみ
真ん中,まんなか
深い,ふかい
進む,すすむ
世,よ
整う,ととのう
昔,むかし
全,ぜん
相,そう
送り,おくり
想い,おもい
息,いき
速い,はやい
族,ぞく
他,た
打つ,うつ
対,たい
待ち,まち
代わり,かわり
第,だい
題,だい
炭,たん
短,たん
談,だん
着る,きる
注ぐ,つぐ
柱,はしら
帳,ちょう
調べる,しらべる
追う,おう
鉄,てつ
転がる,ころがる
都,と
度,ど
投げる,なげる
島,しま
湯,ゆ
登る,のぼる
等,とう
動く,うごく
童,どう
農,のう
波,なみ
配る,くばる
倍,ばい
箱,はこ
畑,はたけ
発,はつ
反,はん
坂,さか
板,いた
皮,かわ
悲しい,かなしい
美,び
鼻,はな
筆,ふで
氷,こおり
表,おもて
秒,びょう
病,びょう
品,しな
負ける,まける
部,ぶ
服,ふく
福,ふく
物,もの
平,だいら
返,かえ
勉,べん
放す,はなす
味,あじ
命,いのち
面,めん
問,とい
役,やく
薬,くすり
由,ゆう
油,あぶら
有,ゆう
遊ぶ,あそぶ
予,よ
羊,ひつじ
洋,よう
葉,は
陽,よう
様,さま
落とす,おとす
流れる,ながれる
旅,たび
両,りょう
緑,みどり
礼,れい
列,れつ
練,れん
路,ろ
和,わ
