愛,あい
案,あん
以,い
衣,ころも
位,い
囲む,かこむ
胃,い
印,しるし
英,えい
栄える,さかえる
塩,しお
億,おく
加える,くわえる
果たす,はたす
貨,か
課,か
芽,め
改める,あらためる
害,がい
街,まち
各,かく
覚える,おぼえる
完,かん
官,かん
管,かん
関,せき
観,かん
願う,ねがう
希,き
季,き
紀,き
喜ぶ,よろこぶ
旗,はた
器,き
機,き
議,ぎ
求める,もとめる
救う,すくう
給,きゅう
挙げる,あげる
漁,ぎょ
共,とも
協,きょう
鏡,かがみ
極,きょく
訓,くん
軍,ぐん
郡,ぐん
径,けい
型,かた
景,けい
芸,げい
欠,けつ
結ぶ,むすぶ
建てる,たてる
健,けん
験,けん
固い,かたい
功,こう
候,こう
航,こう
康,こう
告げる,つげる
差,さ
菜,な
最,さい
材,ざい
昨,さく
札,ふだ
刷,さつ
殺,さつ
察,さつ
参,さん
産,さん
散る,ちる
残る,のこる
士,し
氏,し
史,し
司,し
試みる,こころみる
児,じ
治める,おさめる
辞,じ
失う,うしなう
借,しゃく
種,たね
周り,まわり
祝う,いわう
順,じゅん
初,はつ
松,まつ
笑う,わらう
唱える,となえる
焼く,やく
象,ぞう
照らす,てらす
賞,しょう
臣,しん
信,しん
真,しん
成る,なる
省,しょう
清い,きよい
静か,しずか
席,せき
積,せき
折る,おる
節,せつ
説,せつ
浅い,あさい
戦う,たたかう
選ぶ,えらぶ
然,ぜん
争う,あらそう
倉,くら
巣,す
束,たば
側,がわ
続,ぞく
卒,そつ
孫,まご
帯,おび
隊,たい
達,たつ
単,たん
置く,おく
仲,なか
貯める,ためる
兆,ちょう
腸,ちょう
低,てい
底,そこ
停,てい
的,てき
典,てん
伝,でん
徒,と
努,ど
灯,ひ
堂,どう
働,どう
特,とく
得,とく
毒,どく
独,どく
熱い,あつい
念,ねん
敗れる,やぶれる
倍,ばい
梅,うめ
博,はく
飯,めし
飛ぶ,とぶ
費,ひ
必,ひつ
票,ひょう
標,ひょう
不,ふ
夫,ふ
付,ふ
府,ふ
副,ふく
粉,こな
兵,へい
別,べつ
辺,へん
変,へん
便,べん
包む,つつむ
法,ほう
望む,のぞむ
牧,まき
末,まつ
満たす,みたす
未,み
民,みん
無,む
約,やく
勇気,ゆうき
要,よう
養,よう
浴びる,あびる
利,り
陸,りく
良い,よい
料,りょう
量,りょう
輪,わ
類,るい
令,れい
冷たい,つめたい
例,れい
歴,れき
連れる,つれる
老,ろう
労,ろう
録,ろく
