圧,あつ
移る,うつる
因,いん
永,えい
営む,いとなむ
衛,えい
易しい,やさしい
益,えき
液,えき
演じる,えんじる
応える,こたえる
往,おう
桜,さくら
恩,おん
可,か
仮,かり
価,か
河,かわ
過ぎる,すぎる
賀,が
解く,とく
格,かく
確かめる,たしかめる
額,がく
刊,かん
幹,みき
慣れる,なれる
眼,め
基,き
寄る,よる
規,き
技,わざ
義,ぎ
逆,ぎゃく
久しぶり,ひさしぶり
旧,きゅう
居る,いる
許す,ゆるす
境,さかい
均,きん
禁じる,きんじる
句,く
群れ,むれ
経る,へる
潔い,いさぎよい
件,けん
券,けん
険しい,けわしい
検,けん
限る,かぎる
現れる,あらわれる
減る,へる
故,ゆえ
個,こ
護,ご
効く,きいく
厚い,あつい
耕す,たがやす
鉱,こう
構える,かまえる
興,きょう
講,こう
混ざる,まざる
査,さ
再,さい
災,さい
妻,つま
採る,とる
際,さい
在,ざい
財,ざい
罪,つみ
雑,ざつ
酸,さん
賛,さん
支える,ささえる
志,こころざし
枝,えだ
師,し
資,し
飼う,かう
似る,にる
示,じ
識,しき
質,しつ
舎,しゃ
謝る,あやまる
授ける,さずける
修,しゅう
述べる,のべる
術,じゅつ
準,じゅん
序,じょ
招く,まねく
承る,うけたまわる
証,しょう
条,じょう
状,じょう
常,つね
情け,なさけ
織る,おる
職,しょく
制,せい
性,せい
政,せい
勢い,いきおい
精,せい
製,せい
税,ぜい
説く,とく
絶える,たえる
銭,ぜに
設ける,もうける
舌,した
絶,ぜつ
専,せん
併,へい
綿,わた
輸,ゆ
述,じゅつ
績,せき
責める,せめる
接,せつ
設,せつ
素,そ
創る,つくる
造る,つくる
肥える,こえる
備える,そなえる
墓,はか
報いる,むくいる
防ぐ,ふせぐ
夢,ゆめ
豊かな,ゆたかな
略,りゃく
留まる,とまる
領,りょう
