遺,い
域,いき
宇,う
映る,うつる
延びる,のびる
沿う,そう
我,われ
灰,はい
拡げる,ひろげる
革,かわ
閣,かく
割る,わる
株,かぶ
干す,ほす
巻く,まく
看,かん
簡,かん
危ない,あぶない
机,つくえ
貴,き
疑う,うたがう
吸う,すう
供える,そなえる
胸,むね
郷,きょう
勤める,つとめる
筋,すじ
系,けい
敬う,うやまう
警,けい
劇,げき
激しい,はげしい
穴,あな
券,けん
絹,きぬ
権,けん
憲,けん
源,みなもと
厳しい,きびしい
己,おのれ
呼ぶ,よぶ
誤る,あやまる
后,きさき
孝,こう
皇,こう
紅,べに
降る,ふる
鋼,はがね
刻む,きざむ
穀,こく
骨,ほね
困る,こまる
砂,すな
座る,すわる
済む,すむ
裁く,さばく
策,さく
冊,さつ
蚕,かいこ
至る,いたる
私,わたし
姿,すがた
視,し
詞,し
誌,し
磁,じ
射る,いる
捨てる,すてる
尺,しゃく
若,わか
樹,き
収める,おさめる
宗,しゅう
就,しゅう
衆,しゅう
従う,したがう
縦,たて
縮む,ちぢむ
熟す,じゅくす
純,じゅん
処,しょ
署,しょ
諸,しょ
除,じょ
承,しょう
将,しょう
傷,きず
障,しょう
蒸す,むす
針,はり
仁,じん
垂れる,たれる
推す,おす
寸,すん
盛る,もる
聖,せい
誠,まこと
舌,した
宣,せん
専,せん
泉,いずみ
洗う,あらう
染める,そめる
善,ぜん
奏でる,かなでる
窓,まど
創る,つくる
装う,よそおう
層,そう
操る,あやつる
蔵,くら
臓,ぞう
俗,ぞく
尊い,とうとい
退く,しりぞく
宅,たく
担ぐ,かつぐ
探す,さがす
誕,たん
段,だん
暖まる,あたたまる
値,あたい
宙,ちゅう
忠,ちゅう
著す,あらわす
庁,ちょう
頂く,いただく
潮,しお
賃,ちん
痛い,いたい
展,てん
討つ,うつ
党,とう
糖,とう
届く,とどく
難い,かたい
乳,ちち
認める,みとめる
納める,おさめる
脳,のう
派,は
拝む,おがむ
背,せ
肺,はい
俳,はい
班,はん
晩,ばん
否,いな
批,ひ
秘,ひ
俵,ひょう
腹,はら
奮う,ふるう
並ぶ,ならぶ
陛下,へいか
閉じる,とじる
片,かた
補う,おぎなう
暮らす,くらす
宝,たから
訪ねる,たずねる
亡い,ない
忘れる,わすれる
棒,ぼう
枚,まい
幕,まく
密,みつ
盟,めい
模,も
訳,わけ
郵,ゆう
優れる,すぐれる
預ける,あずける
幼い,おさない
欲,よく
翌,よく
乱れる,みだれる
卵,たまご
覧,らん
裏,うら
律,りつ
臨む,のぞむ
朗,ろう
論,ろん
